Hour,MOTOR A,MOTOR B,MOTOR C,MOTOR D,POWER ELECTRONICS,CONSTANT IMPEDANCE,CONSTANT CURRENT
0,0.14915851824079587,0.08430695105172124,0.036625421947347574,0.1480871003654146,0.17880150056687588,0.20278054334916532,0.2002399644786796
1,0.14971767989908494,0.08603056004429681,0.030982860649182282,0.15374253094698576,0.18595733259437489,0.19145105688255218,0.20211797898352313
2,0.15381003506097196,0.08910751627556478,0.029137254651429863,0.15179287375556338,0.18093319526922166,0.18324684308910252,0.2119722818981458
3,0.16419672291174284,0.09686313671921397,0.028950251927969448,0.15538012831131573,0.16022505978214555,0.16373969480337716,0.23064500554423528
4,0.160868621382095,0.09731876418840466,0.03097678931024823,0.16015209960694807,0.14656940018541562,0.17571821501972823,0.2283961103071602
5,0.18038948212994643,0.10570333191479482,0.034122741582029145,0.1416701023840035,0.14850110260363614,0.17201501645317127,0.21759822293241873
6,0.19661104016346803,0.11025544267638253,0.040453695066506,0.11766099838152766,0.1494512493826508,0.18599206230982748,0.19957551201963747
7,0.19163543293953703,0.10891324556979683,0.043738295870755346,0.10254775533165786,0.14212164286142612,0.22497568342940696,0.18606794399741994
8,0.20734419417677102,0.11093387125824755,0.04662785662784966,0.08073202072335023,0.14672737571525515,0.22237905734629967,0.18525562415222682
9,0.21770420074998834,0.11262369778224442,0.05013829301273132,0.07407478333561578,0.14954916958865772,0.2150834591657177,0.18082639636504466
10,0.23559052530826333,0.11310938164266741,0.05417842895539928,0.06831014288897909,0.1540670925828393,0.19818952561731606,0.17655490300453558
11,0.23664701860810308,0.11126971850717467,0.05593710551567869,0.06491104745811234,0.15558766568132312,0.2019863674865264,0.1736610767430817
12,0.24702651136125317,0.11048373743427059,0.056844887727865945,0.06473672664709566,0.15786202994743342,0.19223748861403128,0.17080861826804983
13,0.2560518710373237,0.1105194217105152,0.05819223668689174,0.06468184168125493,0.15909986142042296,0.1827893284429387,0.16866543902065279
14,0.2569729051548203,0.11188586799349813,0.05768519383633303,0.06573537544689624,0.15979261997121202,0.17889353856677764,0.1690344990304626
15,0.24300748363302732,0.11091023164581539,0.05745993603289555,0.07588556518313037,0.1568553603187783,0.18841165896985645,0.16746976421649645
16,0.22121165721920205,0.10783971684349777,0.05573557846462005,0.0797916391036838,0.15224088508821737,0.212891247228288,0.17028927605249095
17,0.19101606214265165,0.0989797907639109,0.05356162017058523,0.09016265836616047,0.1402855758530323,0.24759301354033025,0.17840127916332899
18,0.17931490935753053,0.09314214771065388,0.05236495158150796,0.09100714022046463,0.1364558296450558,0.26150800529254475,0.1862070161922425
19,0.1735908443329633,0.09115654605682326,0.052559165793811154,0.09923266994493238,0.1400639150000668,0.24951081884784063,0.1938860400235625
20,0.16569267111653777,0.08741077679315618,0.05535966941426176,0.0980856192130365,0.14321636865450887,0.2550450736061377,0.19518982120236125
21,0.15104723925536032,0.08265792976563367,0.05762691130442737,0.1081166934152354,0.1494940406331778,0.2625391973890947,0.1885179882370708
22,0.14440887629228796,0.08059829555946621,0.054784219030766045,0.12998142011223318,0.15114999503194437,0.24916650332137255,0.18991069065192964
23,0.1491962452816549,0.08418158021589846,0.04618409422582038,0.14092988217322525,0.1554647556025704,0.2221267145370061,0.20191672796382443
