Hour,MOTOR A,MOTOR B,MOTOR C,MOTOR D,POWER ELECTRONICS,CONSTANT IMPEDANCE,CONSTANT CURRENT
0,0.048269334534821684,0.04195833758938623,0.022748562614562762,0.1662787286763869,0.08111425050653748,0.5477627922166374,0.0918679938616675
1,0.046412189986743096,0.04119673572116145,0.02031129335876743,0.1719039659061436,0.07468104324756154,0.5599547852335279,0.08553998654609483
2,0.0414398909405538,0.040410167900641426,0.020878011102809967,0.19055908552911513,0.06534818285743818,0.5651517483670554,0.07621291330238607
3,0.037676693220400695,0.04212325467348632,0.023557154130509527,0.21864645176260067,0.05355992719599764,0.5566273675929896,0.06780915142401557
4,0.02951621940692396,0.043488741924628316,0.028220115869432325,0.26017792566479864,0.04381997917510639,0.5401889551518911,0.054588062807219145
5,0.02328608485119915,0.039513683918639755,0.027846191604523493,0.26233448128519216,0.03242412652932342,0.5776520278531799,0.03694340395794208
6,0.0204744094964358,0.037488992155289606,0.02677679433987617,0.24426893088817395,0.028900211845699006,0.607420016016232,0.03467064525829355
7,0.019708686538848722,0.03927140533580355,0.025203430844494827,0.22131132876805856,0.03011417425700827,0.6229501456094518,0.04144082864633427
8,0.02204702486768257,0.04261065561286679,0.023197225333060546,0.19460022597411267,0.037651603646530675,0.6223091149853595,0.05758414958038725
9,0.027798294327543667,0.0485209469659908,0.022664835169271737,0.1681073867007675,0.0472396315792741,0.6126818570877252,0.07298704816942711
10,0.034249510595212466,0.0531457549005762,0.023494940820304122,0.1541902788024369,0.054799399222523845,0.5991458636466245,0.080974252012322
11,0.037067019793370744,0.05608224578225104,0.025886279762451597,0.14908084993086024,0.05906298244018966,0.5852036945329747,0.08761692775790195
12,0.047079802273134325,0.06325612090442403,0.029393568906982546,0.14883943706934624,0.06635472684140267,0.5448446183687555,0.10023172563595475
13,0.05339855645194193,0.06889861277901001,0.0313637069451939,0.15306070261130977,0.0740801176431176,0.5101265249655805,0.1090717786038462
14,0.05932054223095619,0.07438463830369343,0.03281757904605101,0.15770423307161766,0.07887946088038517,0.4819651879816258,0.1149283584856707
15,0.06770126273377292,0.07710173950484212,0.036645432852427655,0.17431989667138736,0.08002716821366117,0.4504482754023752,0.11375622462153365
16,0.06075641783078454,0.07285811660052116,0.03586525925147862,0.17352463760743056,0.07739339480093704,0.46989697732055236,0.10970519658829571
17,0.05169548190538469,0.06385201999694513,0.03396177371899942,0.16521584588375937,0.0714846939929768,0.5027695803844009,0.11102060411753359
18,0.05099803719404464,0.06181162581798214,0.033684018127854085,0.16307045726642536,0.07236755361022103,0.5000198549951306,0.11804845298834223
19,0.03860249947851727,0.05770738556139991,0.0312767659687728,0.1735701365713756,0.06659758672759941,0.5242649039299629,0.10798072176237196
20,0.04077171970021716,0.05456052664059166,0.03326961020095014,0.17768465870001154,0.06712759066953135,0.5222409330241822,0.10434496106451596
21,0.043314430833495086,0.05140050514941209,0.033478974241711305,0.1750895365622508,0.06688824160517419,0.531626394472095,0.09820191713586154
22,0.04692567753849854,0.04765074487543197,0.03294594835938205,0.16980372390354698,0.07170079312925336,0.5293510427835885,0.10162206941029868
23,0.05199831742331605,0.04646677475174157,0.0281285433455782,0.16630149342065828,0.07517612011239604,0.5275146894950598,0.10441406145125001
