Hour,MOTOR A,MOTOR B,MOTOR C,MOTOR D,POWER ELECTRONICS,CONSTANT IMPEDANCE,CONSTANT CURRENT
0,0.09678906663538032,0.08929384022414132,0.08169734296336642,0.5534059167346271,0.07563425187307538,0.06022622363725899,0.04295335793215029
1,0.10280930839996259,0.08761423572169677,0.07677009123822699,0.5212787749269445,0.09347434317644573,0.06821964771555897,0.049833598821164615
2,0.13482594159379593,0.08642939473846516,0.06965598047455022,0.4400256346147132,0.11503392633559464,0.08250945741059977,0.0715196648322811
3,0.17667336746376608,0.09588734161239058,0.07112956337675669,0.41983852285179735,0.0875871666249796,0.047316843617044815,0.10156719445326491
4,0.24013061843298394,0.0926994195702514,0.05967894089037334,0.2579209270831141,0.1267383234772452,0.08009714319086524,0.1427346273551667
5,0.27142810235995146,0.09817658508917412,0.06356922254522,0.23689889170899597,0.12328650123219626,0.07054793927471062,0.13609275778975155
6,0.30276348109670476,0.09668427910773086,0.06442356103679966,0.17788625185071974,0.14878716768648348,0.08857285257939233,0.12088240664216936
7,0.30881528487528315,0.09086980889788394,0.07046533691515855,0.1870549795548272,0.15080288752563548,0.09562753768402756,0.09636416454718422
8,0.3186936757410744,0.09082836523996152,0.07715376017163446,0.21251580560079214,0.1424313162420962,0.07934563408684282,0.07903144291759852
9,0.3161112985363583,0.08891020030939706,0.08042545697755386,0.23562397129869556,0.14019124945712758,0.07168944774321376,0.0670483756776539
10,0.32255482222179016,0.0890253564634674,0.08329512647626784,0.24635686723919992,0.13284998529502542,0.061919111419427124,0.0639987308848222
11,0.3145646562325271,0.08936244909473162,0.08446951843687266,0.2663862190178889,0.12678241857074116,0.05751256148096117,0.06092217716627743
12,0.305204519272861,0.08950136510874075,0.08419862998580455,0.2827699488411297,0.12364762865661347,0.05610951572647519,0.058568392408375324
13,0.2854906991783013,0.09025976099741974,0.08571687466587695,0.31635871967747675,0.11618589362322035,0.05190545088845134,0.05408260096925356
14,0.25881499405195596,0.09091730641282175,0.08607372891752069,0.3554010053660113,0.10644029004245475,0.0524150159227661,0.049937659286469385
15,0.22734794206080955,0.09162205850950798,0.08696135944904256,0.3991614467234746,0.09585886142432648,0.05314239492425443,0.04590593690858459
16,0.19133635468099833,0.09154592465169058,0.08743347577404884,0.4470871598391026,0.08483511458276312,0.055878723001029106,0.041883247470367514
17,0.15891469864927837,0.09071771667946077,0.08687854259925173,0.48220647278406814,0.07456709207633962,0.06526732047648394,0.041448156735117286
18,0.13803750831169825,0.0906270348616647,0.08754145309891649,0.5104295580532267,0.0679957924156279,0.06368013946708155,0.0416885137917845
19,0.11866412664369091,0.09012518639171455,0.08868812838813452,0.5440095201287145,0.06116485463084084,0.05712518848206804,0.04022299533483646
20,0.1148159911355512,0.08970384193023104,0.09016094065547775,0.5534204711858026,0.05931162637545397,0.05500069723244917,0.03758643148503426
21,0.10101772674374031,0.08851651028843535,0.09039438770041935,0.563015886624079,0.0574859618641319,0.06326358552863243,0.03630594125056189
22,0.09674744297756548,0.08955729678677468,0.08912569248624176,0.5715021306135596,0.05878501761954947,0.057458211915366236,0.03682420760094277
23,0.10288859655857088,0.08947689807403278,0.08535167188087087,0.5542111900407246,0.06547880947871304,0.06083420821771564,0.041758625749372155
